id,query,query_clean,category,category_id
90,Can I set up Face ID for mobile banking?,Can I set up Face ID for mobile banking?,Account Management,0
394,How do I place a fraud alert on my credit report?,How do I place a fraud alert on my credit report?,Fraud & Security,2
7,How do I set up direct deposit?,How do I set up direct deposit?,Account Management,0
436,What is check fraud?,What is check fraud?,Fraud & Security,2
374,How do I set up auto-debit?,How do I set up auto-debit?,Payments & Transfers,4
207,How do I set up autopay for my credit card?,How do I set up autopay for my credit card?,Card Services,1
355,How do I process batch payments?,How do I process batch payments?,Payments & Transfers,4
136,What is a co-signer and do I need one?,What is a co-signer and do I need one?,Loans,3
4,What is the minimum balance for a savings account?,What is the minimum balance for a savings account?,Account Management,0
149,How do I increase my line of credit?,How do I increase my line of credit?,Loans,3
257,How do I set spending alerts on my card?,How do I set spending alerts on my card?,Card Services,1
27,How do I change my phone number on my account?,How do I change my phone number on my account?,Account Management,0
344,Is there a fee for e-transfers?,Is there a fee for e-transfers?,Payments & Transfers,4
231,Can I use my card with Apple Pay?,Can I use my card with Apple Pay?,Card Services,1
442,What is a security token?,What is a security token?,Fraud & Security,2
37,How do I reorder checks?,How do I reorder checks?,Account Management,0
325,What is a standing order?,What is a standing order?,Payments & Transfers,4
285,How do I send money to another account?,How do I send money to another account?,Payments & Transfers,4
70,How long does a mobile deposit take to clear?,How long does a mobile deposit take to clear?,Account Management,0
193,How do I apply for a credit card?,How do I apply for a credit card?,Card Services,1
128,How much equity do I need for a HELOC?,How much equity do I need for a HELOC?,Loans,3
265,What is a statement closing date?,What is a statement closing date?,Card Services,1
303,How do I receive money through Zelle?,How do I receive money through Zelle?,Payments & Transfers,4
204,When is my credit card payment due?,When is my credit card payment due?,Card Services,1
246,How do I unfreeze my credit card?,How do I unfreeze my credit card?,Card Services,1
417,What is social engineering fraud?,What is social engineering fraud?,Fraud & Security,2
429,How do I opt out of data sharing?,How do I opt out of data sharing?,Fraud & Security,2
437,How do I report check fraud?,How do I report check fraud?,Fraud & Security,2
151,Should I consolidate my debts?,Should I consolidate my debts?,Loans,3
94,Can I access online banking on multiple devices?,Can I access online banking on multiple devices?,Account Management,0
208,How do I earn rewards on my credit card?,How do I earn rewards on my credit card?,Card Services,1
449,How do I recover my account after lockout?,How do I recover my account after lockout?,Fraud & Security,2
185,How do I get a hardship loan?,How do I get a hardship loan?,Loans,3
274,Can I set a daily spending limit on my card?,Can I set a daily spending limit on my card?,Card Services,1
412,How do I protect myself from ATM skimming?,How do I protect myself from ATM skimming?,Fraud & Security,2
38,What is the routing number for my account?,What is the routing number for my account?,Account Management,0
14,How do I request a new debit card?,How do I request a new debit card?,Account Management,0
85,Is mobile banking secure?,Is mobile banking secure?,Account Management,0
254,When does my promotional rate expire?,When does my promotional rate expire?,Card Services,1
127,What is the difference between HELOC and home equity loan?,What is the difference between HELOC and home equity loan?,Loans,3
314,How do I cancel a pending transaction?,How do I cancel a pending transaction?,Payments & Transfers,4
262,What is the annual fee for my card?,What is the annual fee for my card?,Card Services,1
418,How do I protect myself from social engineering?,How do I protect myself from social engineering?,Fraud & Security,2
56,Why was my account frozen?,Why was my account frozen?,Account Management,0
240,How do I remove an authorized user?,How do I remove an authorized user?,Card Services,1
82,How do I register for online banking?,How do I register for online banking?,Account Management,0
68,How does mobile check deposit work?,How does mobile check deposit work?,Account Management,0
439,How do I report suspected elder financial abuse?,How do I report suspected elder financial abuse?,Fraud & Security,2
23,Can I open an account for my child?,Can I open an account for my child?,Account Management,0
375,Can I pay utility bills through the bank?,Can I pay utility bills through the bank?,Payments & Transfers,4
379,"My debit card was stolen, what should I do?","My debit card was stolen, what should I do?",Fraud & Security,2
300,Can I schedule future-dated payments?,Can I schedule future-dated payments?,Payments & Transfers,4
175,What is a jumbo loan?,What is a jumbo loan?,Loans,3
376,How do I verify a payment was received?,How do I verify a payment was received?,Payments & Transfers,4
308,How do I get a cashier's check?,How do I get a cashier's check?,Payments & Transfers,4
106,How do I calculate my monthly loan payment?,How do I calculate my monthly loan payment?,Loans,3
411,Is it safe to use public WiFi for banking?,Is it safe to use public WiFi for banking?,Fraud & Security,2
213,How do I dispute a charge on my credit card?,How do I dispute a charge on my credit card?,Card Services,1
310,How do I send a money order?,How do I send a money order?,Payments & Transfers,4
147,How do I get an SBA loan?,How do I get an SBA loan?,Loans,3
202,What are the fees for my credit card?,What are the fees for my credit card?,Card Services,1
119,How do I make extra payments on my loan?,How do I make extra payments on my loan?,Loans,3
50,How do I upgrade to a premium account?,How do I upgrade to a premium account?,Account Management,0
9,How can I check my account balance online?,How can I check my account balance online?,Account Management,0
39,How do I find my account number?,How do I find my account number?,Account Management,0
396,What is the difference between a fraud alert and credit freeze?,What is the difference between a fraud alert and credit freeze?,Fraud & Security,2
144,What is a USDA loan?,What is a USDA loan?,Loans,3
402,How do I file a police report for bank fraud?,How do I file a police report for bank fraud?,Fraud & Security,2
261,How do I apply for a platinum card?,How do I apply for a platinum card?,Card Services,1
229,How do I unblock my credit card?,How do I unblock my credit card?,Card Services,1
21,What are the fees for maintaining an account?,What are the fees for maintaining an account?,Account Management,0
447,How do I remove a device from my account?,How do I remove a device from my account?,Fraud & Security,2
167,What is a balloon payment?,What is a balloon payment?,Loans,3
35,How do I opt out of marketing communications?,How do I opt out of marketing communications?,Account Management,0
168,How do I negotiate a better loan rate?,How do I negotiate a better loan rate?,Loans,3
260,What are the perks of a premium credit card?,What are the perks of a premium credit card?,Card Services,1
75,What are your hours of operation?,What are your hours of operation?,Account Management,0
46,How long does it take to open a new account?,How long does it take to open a new account?,Account Management,0
281,How do I improve my credit score?,How do I improve my credit score?,Card Services,1
95,How do I update the mobile banking app?,How do I update the mobile banking app?,Account Management,0
378,How do I report a fraudulent transaction?,How do I report a fraudulent transaction?,Fraud & Security,2
226,Does my card work internationally?,Does my card work internationally?,Card Services,1
292,What is a SWIFT code?,What is a SWIFT code?,Payments & Transfers,4
76,How do I schedule an appointment with a banker?,How do I schedule an appointment with a banker?,Account Management,0
137,How does my credit score affect my loan rate?,How does my credit score affect my loan rate?,Loans,3
413,What is card skimming?,What is card skimming?,Fraud & Security,2
372,How do I pay my credit card bill through the app?,How do I pay my credit card bill through the app?,Payments & Transfers,4
241,What spending limits can I set for authorized users?,What spending limits can I set for authorized users?,Card Services,1
259,How do I get a metal credit card?,How do I get a metal credit card?,Card Services,1
343,What are the limits for e-transfers?,What are the limits for e-transfers?,Payments & Transfers,4
121,How do I set up automatic loan payments?,How do I set up automatic loan payments?,Loans,3
36,Can I set a custom nickname for my accounts?,Can I set a custom nickname for my accounts?,Account Management,0
339,How do I set up payment reminders?,How do I set up payment reminders?,Payments & Transfers,4
306,How do I send money to someone without a bank account?,How do I send money to someone without a bank account?,Payments & Transfers,4
141,How do I remove PMI from my mortgage?,How do I remove PMI from my mortgage?,Loans,3
294,What is an IBAN number?,What is an IBAN number?,Payments & Transfers,4
233,How do I set up contactless payments?,How do I set up contactless payments?,Card Services,1
114,How do I get pre-approved for a home loan?,How do I get pre-approved for a home loan?,Loans,3
299,How do I set up bill pay?,How do I set up bill pay?,Payments & Transfers,4
41,How do I switch my primary account?,How do I switch my primary account?,Account Management,0
17,How do I set up automatic transfers between accounts?,How do I set up automatic transfers between accounts?,Account Management,0
368,How do I use tap to pay?,How do I use tap to pay?,Payments & Transfers,4
44,How do I disable overdraft protection?,How do I disable overdraft protection?,Account Management,0
69,What is the mobile deposit limit?,What is the mobile deposit limit?,Account Management,0
192,What is a title search?,What is a title search?,Loans,3
409,What is biometric authentication?,What is biometric authentication?,Fraud & Security,2
433,How do I dispute a transaction I didn't make?,How do I dispute a transaction I didn't make?,Fraud & Security,2
143,What is a VA loan and who qualifies?,What is a VA loan and who qualifies?,Loans,3
84,How do I download the mobile banking app?,How do I download the mobile banking app?,Account Management,0
421,What is account takeover fraud?,What is account takeover fraud?,Fraud & Security,2
216,What is a chargeback?,What is a chargeback?,Card Services,1
363,What is a payment gateway?,What is a payment gateway?,Payments & Transfers,4
116,How do I apply for an auto loan?,How do I apply for an auto loan?,Loans,3
322,What peer-to-peer payment options do you offer?,What peer-to-peer payment options do you offer?,Payments & Transfers,4
295,How do I set up recurring payments?,How do I set up recurring payments?,Payments & Transfers,4
22,How do I set up paperless statements?,How do I set up paperless statements?,Account Management,0
99,How do I apply for a personal loan?,How do I apply for a personal loan?,Loans,3
77,Can I get a safe deposit box?,Can I get a safe deposit box?,Account Management,0
169,What is the grace period for loan payments?,What is the grace period for loan payments?,Loans,3
290,How do I send an international wire transfer?,How do I send an international wire transfer?,Payments & Transfers,4
435,How do I get a new account number after fraud?,How do I get a new account number after fraud?,Fraud & Security,2
251,What is the grace period on my credit card?,What is the grace period on my credit card?,Card Services,1
25,How do I change my mailing address?,How do I change my mailing address?,Account Management,0
71,Can I deposit cash at an ATM?,Can I deposit cash at an ATM?,Account Management,0
446,How do I manage my registered devices?,How do I manage my registered devices?,Fraud & Security,2
146,What collateral is needed for a business loan?,What collateral is needed for a business loan?,Loans,3
33,How do I set up account alerts?,How do I set up account alerts?,Account Management,0
338,Can I categorize my transactions?,Can I categorize my transactions?,Payments & Transfers,4
353,How do I set up payroll through my business account?,How do I set up payroll through my business account?,Payments & Transfers,4
242,How do I cancel my credit card?,How do I cancel my credit card?,Card Services,1
234,How do I request a virtual card number?,How do I request a virtual card number?,Card Services,1
275,How do I track my credit card spending?,How do I track my credit card spending?,Card Services,1
297,How do I modify a scheduled payment?,How do I modify a scheduled payment?,Payments & Transfers,4
132,How do I apply for a student loan?,How do I apply for a student loan?,Loans,3
321,How do I pay someone with my phone?,How do I pay someone with my phone?,Payments & Transfers,4
318,How do I set up direct deposit for my paycheck?,How do I set up direct deposit for my paycheck?,Payments & Transfers,4
351,Can I hold multiple currencies in my account?,Can I hold multiple currencies in my account?,Payments & Transfers,4
350,How do I buy foreign currency?,How do I buy foreign currency?,Payments & Transfers,4
203,How do I view my credit card statement?,How do I view my credit card statement?,Card Services,1
235,What is a secured credit card?,What is a secured credit card?,Card Services,1
152,How do I calculate my debt-to-income ratio?,How do I calculate my debt-to-income ratio?,Loans,3
377,I think someone accessed my account without permission,I think someone accessed my account without permission,Fraud & Security,2
80,I forgot my online banking username,I forgot my online banking username,Account Management,0
438,What is elder financial abuse?,What is elder financial abuse?,Fraud & Security,2
239,Can I add an authorized user to my card?,Can I add an authorized user to my card?,Card Services,1
268,What is chip and PIN technology?,What is chip and PIN technology?,Card Services,1
243,What happens to my rewards if I cancel?,What happens to my rewards if I cancel?,Card Services,1
66,How do I get my 1099-INT form?,How do I get my 1099-INT form?,Account Management,0
451,How do I report a vulnerability in the bank's system?,How do I report a vulnerability in the bank's system?,Fraud & Security,2
320,How do I verify a direct deposit was received?,How do I verify a direct deposit was received?,Payments & Transfers,4
270,Why did I receive a new card I didn't request?,Why did I receive a new card I didn't request?,Card Services,1
72,How do I find the nearest ATM?,How do I find the nearest ATM?,Account Management,0
249,What is extended warranty protection?,What is extended warranty protection?,Card Services,1
19,How do I view my account statements?,How do I view my account statements?,Account Management,0
420,How do I recognize a banking scam?,How do I recognize a banking scam?,Fraud & Security,2
170,How do I set up biweekly loan payments?,How do I set up biweekly loan payments?,Loans,3
415,What should I do if I gave my information to a scammer?,What should I do if I gave my information to a scammer?,Fraud & Security,2
395,How do I place a credit freeze?,How do I place a credit freeze?,Fraud & Security,2
284,How do I choose the right credit card for me?,How do I choose the right credit card for me?,Card Services,1
142,What is an FHA loan?,What is an FHA loan?,Loans,3
187,Can I pay my loan with a credit card?,Can I pay my loan with a credit card?,Loans,3
309,What is the cost of a cashier's check?,What is the cost of a cashier's check?,Payments & Transfers,4
201,How do I decrease my credit card limit?,How do I decrease my credit card limit?,Card Services,1
360,How do I set up automatic savings transfers?,How do I set up automatic savings transfers?,Payments & Transfers,4
426,What is the bank's data encryption standard?,What is the bank's data encryption standard?,Fraud & Security,2
212,Can I transfer my rewards to another program?,Can I transfer my rewards to another program?,Card Services,1
401,What is the bank's liability policy for fraud?,What is the bank's liability policy for fraud?,Fraud & Security,2
165,How does the prime rate affect my loan?,How does the prime rate affect my loan?,Loans,3
424,How do I protect against SIM swap attacks?,How do I protect against SIM swap attacks?,Fraud & Security,2
65,What are the tax implications of my savings interest?,What are the tax implications of my savings interest?,Account Management,0
352,How do I make a tax payment through the bank?,How do I make a tax payment through the bank?,Payments & Transfers,4
198,How do I request a replacement card?,How do I request a replacement card?,Card Services,1
57,How do I reactivate a dormant account?,How do I reactivate a dormant account?,Account Management,0
8,What are the different types of accounts you offer?,What are the different types of accounts you offer?,Account Management,0
162,What is a personal line of credit?,What is a personal line of credit?,Loans,3
359,Can I schedule automatic charitable donations?,Can I schedule automatic charitable donations?,Payments & Transfers,4
364,How do I integrate payment processing for my business?,How do I integrate payment processing for my business?,Payments & Transfers,4
293,How do I find the SWIFT code for my bank?,How do I find the SWIFT code for my bank?,Payments & Transfers,4
279,How often is my credit score updated?,How often is my credit score updated?,Card Services,1
271,How do I update my card information with merchants?,How do I update my card information with merchants?,Card Services,1
414,How can I tell if an ATM has a skimmer?,How can I tell if an ATM has a skimmer?,Fraud & Security,2
383,Is this email really from the bank?,Is this email really from the bank?,Fraud & Security,2
74,How do I set up a recurring deposit?,How do I set up a recurring deposit?,Account Management,0
54,Can I restrict certain transactions on my account?,Can I restrict certain transactions on my account?,Account Management,0
407,How often should I change my banking password?,How often should I change my banking password?,Fraud & Security,2
289,How long does a wire transfer take?,How long does a wire transfer take?,Payments & Transfers,4
79,How do I reset my online banking password?,How do I reset my online banking password?,Account Management,0
316,How long does an ACH transfer take?,How long does an ACH transfer take?,Payments & Transfers,4
194,What credit cards do you offer?,What credit cards do you offer?,Card Services,1
392,How do I set spending limits for security?,How do I set spending limits for security?,Fraud & Security,2
369,Can I make payments using my smartwatch?,Can I make payments using my smartwatch?,Payments & Transfers,4
227,How do I set up travel notifications for my card?,How do I set up travel notifications for my card?,Card Services,1
400,Will I get my money back after fraud?,Will I get my money back after fraud?,Fraud & Security,2
13,Can I remove a joint account holder?,Can I remove a joint account holder?,Account Management,0
103,What documents do I need for a loan application?,What documents do I need for a loan application?,Loans,3
250,How do I file an insurance claim through my card?,How do I file an insurance claim through my card?,Card Services,1
184,What is the difference between forbearance and deferment?,What is the difference between forbearance and deferment?,Loans,3
81,How do I enable two-factor authentication?,How do I enable two-factor authentication?,Account Management,0
91,How do I enable fingerprint login?,How do I enable fingerprint login?,Account Management,0
140,What is PMI and when is it required?,What is PMI and when is it required?,Loans,3
171,What is an escrow account?,What is an escrow account?,Loans,3
236,How do I upgrade from a secured to unsecured card?,How do I upgrade from a secured to unsecured card?,Card Services,1
340,What is an e-transfer?,What is an e-transfer?,Payments & Transfers,4
131,What is a bridge loan?,What is a bridge loan?,Loans,3
130,How do I get a construction loan?,How do I get a construction loan?,Loans,3
367,What is contactless payment?,What is contactless payment?,Payments & Transfers,4
362,How do I resolve a duplicate payment?,How do I resolve a duplicate payment?,Payments & Transfers,4
276,What tools do you offer for credit card management?,What tools do you offer for credit card management?,Card Services,1
282,Can I get a credit card with no annual fee?,Can I get a credit card with no annual fee?,Card Services,1
191,How do I get my lien released after payoff?,How do I get my lien released after payoff?,Loans,3
232,Can I use my card with Google Pay?,Can I use my card with Google Pay?,Card Services,1
403,How do I check if my account has been compromised?,How do I check if my account has been compromised?,Fraud & Security,2
428,What is the bank's privacy policy?,What is the bank's privacy policy?,Fraud & Security,2
10,How do I link my accounts together?,How do I link my accounts together?,Account Management,0
381,What should I do if I received a phishing email?,What should I do if I received a phishing email?,Fraud & Security,2
244,Will canceling my card affect my credit score?,Will canceling my card affect my credit score?,Card Services,1
324,How do I split a payment with friends?,How do I split a payment with friends?,Payments & Transfers,4
15,What is the daily withdrawal limit?,What is the daily withdrawal limit?,Account Management,0
109,What is a fixed-rate mortgage?,What is a fixed-rate mortgage?,Loans,3
371,How do I pay my loan installment?,How do I pay my loan installment?,Payments & Transfers,4
64,How do I set up a trust account?,How do I set up a trust account?,Account Management,0
30,What are the penalties for early CD withdrawal?,What are the penalties for early CD withdrawal?,Account Management,0
361,What is a sweep account?,What is a sweep account?,Payments & Transfers,4
287,How do I set up a wire transfer?,How do I set up a wire transfer?,Payments & Transfers,4
223,How do I get a cash advance on my credit card?,How do I get a cash advance on my credit card?,Card Services,1
1,How do I open a new savings account?,How do I open a new savings account?,Account Management,0
315,What is ACH transfer?,What is ACH transfer?,Payments & Transfers,4
425,How do I report unauthorized wire transfers?,How do I report unauthorized wire transfers?,Fraud & Security,2
189,How do I track my loan payments?,How do I track my loan payments?,Loans,3
6,Can I change my account type from savings to checking?,Can I change my account type from savings to checking?,Account Management,0
100,What is the interest rate on a home loan?,What is the interest rate on a home loan?,Loans,3
288,What are the fees for wire transfers?,What are the fees for wire transfers?,Payments & Transfers,4
327,How do I cancel a standing order?,How do I cancel a standing order?,Payments & Transfers,4
55,How do I unfreeze my account?,How do I unfreeze my account?,Account Management,0
448,What happens if I enter wrong password too many times?,What happens if I enter wrong password too many times?,Fraud & Security,2
161,How do I get a loan for home improvements?,How do I get a loan for home improvements?,Loans,3
205,How do I make a credit card payment?,How do I make a credit card payment?,Card Services,1
97,How do I provide feedback about banking services?,How do I provide feedback about banking services?,Account Management,0
188,What is the total cost of my loan over its lifetime?,What is the total cost of my loan over its lifetime?,Loans,3
301,What is the cutoff time for same-day transfers?,What is the cutoff time for same-day transfers?,Payments & Transfers,4
11,What is the interest rate on my savings account?,What is the interest rate on my savings account?,Account Management,0
441,How do I set up trusted contact for my account?,How do I set up trusted contact for my account?,Fraud & Security,2
348,How do I lock in an exchange rate?,How do I lock in an exchange rate?,Payments & Transfers,4
42,What are overdraft protection options?,What are overdraft protection options?,Account Management,0
182,What is the process for a loan modification?,What is the process for a loan modification?,Loans,3
427,How does the bank protect my personal information?,How does the bank protect my personal information?,Fraud & Security,2
277,How do I view my credit score through the bank?,How do I view my credit score through the bank?,Card Services,1
366,How do I set up invoicing through the bank?,How do I set up invoicing through the bank?,Payments & Transfers,4
323,How do I request money from someone?,How do I request money from someone?,Payments & Transfers,4
60,How do I update my signature on file?,How do I update my signature on file?,Account Management,0
264,How does my credit card billing cycle work?,How does my credit card billing cycle work?,Card Services,1
389,How do I set up fraud alerts?,How do I set up fraud alerts?,Fraud & Security,2
105,What is the maximum loan amount I can get?,What is the maximum loan amount I can get?,Loans,3
380,How do I freeze my account due to suspicious activity?,How do I freeze my account due to suspicious activity?,Fraud & Security,2
408,How do I create a strong banking password?,How do I create a strong banking password?,Fraud & Security,2
110,What is an adjustable-rate mortgage?,What is an adjustable-rate mortgage?,Loans,3
179,What is a rate lock?,What is a rate lock?,Loans,3
164,What is the prime rate?,What is the prime rate?,Loans,3
24,What documents do I need to open an account?,What documents do I need to open an account?,Account Management,0
278,Does checking my credit score affect it?,Does checking my credit score affect it?,Card Services,1
390,What are transaction alerts?,What are transaction alerts?,Fraud & Security,2
256,What is a co-branded credit card?,What is a co-branded credit card?,Card Services,1
272,What is a recurring charge and how do I manage it?,What is a recurring charge and how do I manage it?,Card Services,1
335,How do I view my transaction history?,How do I view my transaction history?,Payments & Transfers,4
228,Why was my card declined?,Why was my card declined?,Card Services,1
126,What is a home equity line of credit?,What is a home equity line of credit?,Loans,3
197,How do I block my lost credit card?,How do I block my lost credit card?,Card Services,1
177,What are the current mortgage rates?,What are the current mortgage rates?,Loans,3
78,What are the fees for a safe deposit box?,What are the fees for a safe deposit box?,Account Management,0
145,How do I apply for a small business loan?,How do I apply for a small business loan?,Loans,3
181,Can I get a construction-to-permanent loan?,Can I get a construction-to-permanent loan?,Loans,3
329,How do I set up a direct debit?,How do I set up a direct debit?,Payments & Transfers,4
215,How long does a dispute take to resolve?,How long does a dispute take to resolve?,Card Services,1
63,What is the process for estate accounts?,What is the process for estate accounts?,Account Management,0
328,What is the difference between a standing order and direct debit?,What is the difference between a standing order and direct debit?,Payments & Transfers,4
18,Can I have multiple savings accounts?,Can I have multiple savings accounts?,Account Management,0
98,How do I file a complaint with the bank?,How do I file a complaint with the bank?,Account Management,0
440,What protections exist for vulnerable customers?,What protections exist for vulnerable customers?,Fraud & Security,2
29,How does a certificate of deposit work?,How does a certificate of deposit work?,Account Management,0
158,What is loan assumption?,What is loan assumption?,Loans,3
218,What is the APR on my credit card?,What is the APR on my credit card?,Card Services,1
406,What password requirements does the bank have?,What password requirements does the bank have?,Fraud & Security,2
67,Can I deposit checks using my phone?,Can I deposit checks using my phone?,Account Management,0
388,What security features does the bank offer?,What security features does the bank offer?,Fraud & Security,2
397,How do I report a lost or stolen checkbook?,How do I report a lost or stolen checkbook?,Fraud & Security,2
224,What are cash advance fees?,What are cash advance fees?,Card Services,1
387,How do I change my security questions?,How do I change my security questions?,Fraud & Security,2
180,How long does a rate lock last?,How long does a rate lock last?,Loans,3
166,Can I change from variable to fixed rate?,Can I change from variable to fixed rate?,Loans,3
108,Can I get a loan with bad credit?,Can I get a loan with bad credit?,Loans,3
83,Can I manage my account through the mobile app?,Can I manage my account through the mobile app?,Account Management,0
20,How do I download my bank statements in PDF?,How do I download my bank statements in PDF?,Account Management,0
345,How do I make a payment using QR code?,How do I make a payment using QR code?,Payments & Transfers,4
124,Can I modify my loan terms?,Can I modify my loan terms?,Loans,3
217,How do I request a chargeback?,How do I request a chargeback?,Card Services,1
196,How do I report a lost credit card?,How do I report a lost credit card?,Card Services,1
346,Can I pay internationally using my bank app?,Can I pay internationally using my bank app?,Payments & Transfers,4
174,How do I appeal a loan denial?,How do I appeal a loan denial?,Loans,3
404,What are signs that my account has been hacked?,What are signs that my account has been hacked?,Fraud & Security,2
370,How do I pay my mortgage online?,How do I pay my mortgage online?,Payments & Transfers,4
307,What is a cashier's check?,What is a cashier's check?,Payments & Transfers,4
358,How do I send money to a charity?,How do I send money to a charity?,Payments & Transfers,4
150,What is a debt consolidation loan?,What is a debt consolidation loan?,Loans,3
40,Can I merge two accounts into one?,Can I merge two accounts into one?,Account Management,0
122,What happens if I miss a loan payment?,What happens if I miss a loan payment?,Loans,3
52,What is the annual percentage yield on savings?,What is the annual percentage yield on savings?,Account Management,0
138,What credit score do I need for a mortgage?,What credit score do I need for a mortgage?,Loans,3
148,What are the terms for a line of credit?,What are the terms for a line of credit?,Loans,3
357,How do I enable real-time payments?,How do I enable real-time payments?,Payments & Transfers,4
283,What is the difference between Visa and Mastercard?,What is the difference between Visa and Mastercard?,Card Services,1
16,How can I increase my daily withdrawal limit?,How can I increase my daily withdrawal limit?,Account Management,0
365,Can I receive payments through my bank?,Can I receive payments through my bank?,Payments & Transfers,4
155,What is an amortization schedule?,What is an amortization schedule?,Loans,3
419,What are common banking scams?,What are common banking scams?,Fraud & Security,2
101,What are the eligibility requirements for a mortgage?,What are the eligibility requirements for a mortgage?,Loans,3
199,What is my credit card limit?,What is my credit card limit?,Card Services,1
58,What happens to a dormant account?,What happens to a dormant account?,Account Management,0
88,"My account is locked, how do I unlock it?","My account is locked, how do I unlock it?",Account Management,0
183,How do I apply for forbearance?,How do I apply for forbearance?,Loans,3
156,How do I read my amortization schedule?,How do I read my amortization schedule?,Loans,3
444,How do I report unauthorized account changes?,How do I report unauthorized account changes?,Fraud & Security,2
221,How do I do a balance transfer?,How do I do a balance transfer?,Card Services,1
