id,query,category
235,What is a secured credit card?,Card Services
120,Is there a penalty for paying off my loan early?,Loans
356,What is real-time payment?,Payments & Transfers
440,What protections exist for vulnerable customers?,Fraud & Security
313,Can I reverse a bank transfer?,Payments & Transfers
319,How do I change my direct deposit information?,Payments & Transfers
181,Can I get a construction-to-permanent loan?,Loans
357,How do I enable real-time payments?,Payments & Transfers
358,How do I send money to a charity?,Payments & Transfers
347,What exchange rates do you offer?,Payments & Transfers
238,How do I apply for a business credit card?,Card Services
37,How do I reorder checks?,Account Management
140,What is PMI and when is it required?,Loans
402,How do I file a police report for bank fraud?,Fraud & Security
197,How do I block my lost credit card?,Card Services
315,What is ACH transfer?,Payments & Transfers
256,What is a co-branded credit card?,Card Services
60,How do I update my signature on file?,Account Management
112,When should I refinance my mortgage?,Loans
210,What is my current rewards balance?,Card Services
223,How do I get a cash advance on my credit card?,Card Services
7,How do I set up direct deposit?,Account Management
325,What is a standing order?,Payments & Transfers
311,Where can I cash a money order?,Payments & Transfers
159,How do I apply for a second mortgage?,Loans
151,Should I consolidate my debts?,Loans
178,How do I lock in my mortgage rate?,Loans
185,How do I get a hardship loan?,Loans
11,What is the interest rate on my savings account?,Account Management
247,What purchase protection does my card offer?,Card Services
104,How do I check my loan application status?,Loans
82,How do I register for online banking?,Account Management
39,How do I find my account number?,Account Management
282,Can I get a credit card with no annual fee?,Card Services
168,How do I negotiate a better loan rate?,Loans
424,How do I protect against SIM swap attacks?,Fraud & Security
262,What is the annual fee for my card?,Card Services
199,What is my credit card limit?,Card Services
266,How do I change my credit card PIN?,Card Services
248,Does my card have travel insurance?,Card Services
211,Do my rewards points expire?,Card Services
195,How do I activate my new credit card?,Card Services
90,Can I set up Face ID for mobile banking?,Account Management
246,How do I unfreeze my credit card?,Card Services
164,What is the prime rate?,Loans
219,How is credit card interest calculated?,Card Services
148,What are the terms for a line of credit?,Loans
3,How can I close my bank account?,Account Management
93,How do I clear my online banking cache?,Account Management
362,How do I resolve a duplicate payment?,Payments & Transfers
70,How long does a mobile deposit take to clear?,Account Management
318,How do I set up direct deposit for my paycheck?,Payments & Transfers
124,Can I modify my loan terms?,Loans
333,What is the hold time for deposited checks?,Payments & Transfers
97,How do I provide feedback about banking services?,Account Management
144,What is a USDA loan?,Loans
342,How long does an e-transfer take?,Payments & Transfers
323,How do I request money from someone?,Payments & Transfers
239,Can I add an authorized user to my card?,Card Services
98,How do I file a complaint with the bank?,Account Management
425,How do I report unauthorized wire transfers?,Fraud & Security
69,What is the mobile deposit limit?,Account Management
24,What documents do I need to open an account?,Account Management
38,What is the routing number for my account?,Account Management
145,How do I apply for a small business loan?,Loans
123,How do I defer my loan payment?,Loans
184,What is the difference between forbearance and deferment?,Loans
203,How do I view my credit card statement?,Card Services
183,How do I apply for forbearance?,Loans
68,How does mobile check deposit work?,Account Management
240,How do I remove an authorized user?,Card Services
400,Will I get my money back after fraud?,Fraud & Security
267,Can I get cash back at the point of sale?,Card Services
397,How do I report a lost or stolen checkbook?,Fraud & Security
269,How do I report a damaged card?,Card Services
359,Can I schedule automatic charitable donations?,Payments & Transfers
254,When does my promotional rate expire?,Card Services
126,What is a home equity line of credit?,Loans
147,How do I get an SBA loan?,Loans
449,How do I recover my account after lockout?,Fraud & Security
368,How do I use tap to pay?,Payments & Transfers
224,What are cash advance fees?,Card Services
229,How do I unblock my credit card?,Card Services
87,Why can't I log in to my account?,Account Management
380,How do I freeze my account due to suspicious activity?,Fraud & Security
220,What is a balance transfer?,Card Services
130,How do I get a construction loan?,Loans
381,What should I do if I received a phishing email?,Fraud & Security
275,How do I track my credit card spending?,Card Services
295,How do I set up recurring payments?,Payments & Transfers
341,How do I receive an e-transfer?,Payments & Transfers
382,How do I report a phishing text message?,Fraud & Security
407,How often should I change my banking password?,Fraud & Security
263,Can I get the annual fee waived?,Card Services
306,How do I send money to someone without a bank account?,Payments & Transfers
113,What are the closing costs for a mortgage?,Loans
180,How long does a rate lock last?,Loans
276,What tools do you offer for credit card management?,Card Services
305,What are the limits for Zelle transfers?,Payments & Transfers
410,How do I set up biometric login?,Fraud & Security
435,How do I get a new account number after fraud?,Fraud & Security
324,How do I split a payment with friends?,Payments & Transfers
234,How do I request a virtual card number?,Card Services
279,How often is my credit score updated?,Card Services
165,How does the prime rate affect my loan?,Loans
137,How does my credit score affect my loan rate?,Loans
198,How do I request a replacement card?,Card Services
259,How do I get a metal credit card?,Card Services
233,How do I set up contactless payments?,Card Services
116,How do I apply for an auto loan?,Loans
121,How do I set up automatic loan payments?,Loans
225,What is the foreign transaction fee on my card?,Card Services
365,Can I receive payments through my bank?,Payments & Transfers
303,How do I receive money through Zelle?,Payments & Transfers
128,How much equity do I need for a HELOC?,Loans
374,How do I set up auto-debit?,Payments & Transfers
108,Can I get a loan with bad credit?,Loans
335,How do I view my transaction history?,Payments & Transfers
292,What is a SWIFT code?,Payments & Transfers
134,Can I consolidate my student loans?,Loans
332,How do I handle a returned payment?,Payments & Transfers
45,What happens if my account goes negative?,Account Management
416,How do I report a suspicious website?,Fraud & Security
66,How do I get my 1099-INT form?,Account Management
284,How do I choose the right credit card for me?,Card Services
86,How do I log out of mobile banking?,Account Management
243,What happens to my rewards if I cancel?,Card Services
187,Can I pay my loan with a credit card?,Loans
160,What are the risks of a second mortgage?,Loans
13,Can I remove a joint account holder?,Account Management
36,Can I set a custom nickname for my accounts?,Account Management
29,How does a certificate of deposit work?,Account Management
171,What is an escrow account?,Loans
143,What is a VA loan and who qualifies?,Loans
361,What is a sweep account?,Payments & Transfers
308,How do I get a cashier's check?,Payments & Transfers
222,What are the balance transfer fees?,Card Services
96,What features are available in the mobile app?,Account Management
52,What is the annual percentage yield on savings?,Account Management
241,What spending limits can I set for authorized users?,Card Services
337,How do I export my transaction history?,Payments & Transfers
343,What are the limits for e-transfers?,Payments & Transfers
179,What is a rate lock?,Loans
42,What are overdraft protection options?,Account Management
352,How do I make a tax payment through the bank?,Payments & Transfers
207,How do I set up autopay for my credit card?,Card Services
283,What is the difference between Visa and Mastercard?,Card Services
255,How do I apply for a student credit card?,Card Services
375,Can I pay utility bills through the bank?,Payments & Transfers
5,How do I update my contact information?,Account Management
257,How do I set spending alerts on my card?,Card Services
406,What password requirements does the bank have?,Fraud & Security
101,What are the eligibility requirements for a mortgage?,Loans
227,How do I set up travel notifications for my card?,Card Services
391,How do I enable real-time transaction alerts?,Fraud & Security
214,I see an unauthorized charge on my card,Card Services
172,How does my escrow account work?,Loans
99,How do I apply for a personal loan?,Loans
293,How do I find the SWIFT code for my bank?,Payments & Transfers
216,What is a chargeback?,Card Services
62,How do I request an account verification letter?,Account Management
48,Do you offer student bank accounts?,Account Management
33,How do I set up account alerts?,Account Management
268,What is chip and PIN technology?,Card Services
328,What is the difference between a standing order and direct debit?,Payments & Transfers
201,How do I decrease my credit card limit?,Card Services
404,What are signs that my account has been hacked?,Fraud & Security
28,What is a money market account?,Account Management
354,What is a batch payment?,Payments & Transfers
231,Can I use my card with Apple Pay?,Card Services
261,How do I apply for a platinum card?,Card Services
289,How long does a wire transfer take?,Payments & Transfers
163,How does a secured loan differ from unsecured?,Loans
384,How do I verify a phone call is from the bank?,Fraud & Security
139,How do I improve my chances of loan approval?,Loans
63,What is the process for estate accounts?,Account Management
136,What is a co-signer and do I need one?,Loans
129,What are the tax benefits of a home loan?,Loans
430,Can I see who has accessed my account information?,Fraud & Security
9,How can I check my account balance online?,Account Management
327,How do I cancel a standing order?,Payments & Transfers
419,What are common banking scams?,Fraud & Security
65,What are the tax implications of my savings interest?,Account Management
301,What is the cutoff time for same-day transfers?,Payments & Transfers
15,What is the daily withdrawal limit?,Account Management
157,Can I transfer my loan to another person?,Loans
41,How do I switch my primary account?,Account Management
415,What should I do if I gave my information to a scammer?,Fraud & Security
366,How do I set up invoicing through the bank?,Payments & Transfers
217,How do I request a chargeback?,Card Services
280,What factors affect my credit score?,Card Services
392,How do I set spending limits for security?,Fraud & Security
338,Can I categorize my transactions?,Payments & Transfers
237,What is a business credit card?,Card Services
208,How do I earn rewards on my credit card?,Card Services
213,How do I dispute a charge on my credit card?,Card Services
296,How do I cancel a recurring payment?,Payments & Transfers
413,What is card skimming?,Fraud & Security
252,How do I avoid paying interest on my credit card?,Card Services
441,How do I set up trusted contact for my account?,Fraud & Security
429,How do I opt out of data sharing?,Fraud & Security
304,Is Zelle free to use?,Payments & Transfers
351,Can I hold multiple currencies in my account?,Payments & Transfers
270,Why did I receive a new card I didn't request?,Card Services
202,What are the fees for my credit card?,Card Services
162,What is a personal line of credit?,Loans
44,How do I disable overdraft protection?,Account Management
218,What is the APR on my credit card?,Card Services
191,How do I get my lien released after payoff?,Loans
310,How do I send a money order?,Payments & Transfers
260,What are the perks of a premium credit card?,Card Services
106,How do I calculate my monthly loan payment?,Loans
54,Can I restrict certain transactions on my account?,Account Management
2,What are the requirements to open a checking account?,Account Management
450,Is the mobile app safe to use?,Fraud & Security
50,How do I upgrade to a premium account?,Account Management
81,How do I enable two-factor authentication?,Account Management
206,What is the minimum payment on my credit card?,Card Services
35,How do I opt out of marketing communications?,Account Management
264,How does my credit card billing cycle work?,Card Services
367,What is contactless payment?,Payments & Transfers
92,What browsers are supported for online banking?,Account Management
340,What is an e-transfer?,Payments & Transfers
427,How does the bank protect my personal information?,Fraud & Security
53,How do I set a spending limit on my account?,Account Management
346,Can I pay internationally using my bank app?,Payments & Transfers
265,What is a statement closing date?,Card Services
242,How do I cancel my credit card?,Card Services
14,How do I request a new debit card?,Account Management
316,How long does an ACH transfer take?,Payments & Transfers
89,How do I change my PIN number?,Account Management
388,What security features does the bank offer?,Fraud & Security
274,Can I set a daily spending limit on my card?,Card Services
167,What is a balloon payment?,Loans
329,How do I set up a direct debit?,Payments & Transfers
444,How do I report unauthorized account changes?,Fraud & Security
135,How does student loan forgiveness work?,Loans
307,What is a cashier's check?,Payments & Transfers
434,What documentation do I need to file a fraud claim?,Fraud & Security
320,How do I verify a direct deposit was received?,Payments & Transfers
244,Will canceling my card affect my credit score?,Card Services
55,How do I unfreeze my account?,Account Management
364,How do I integrate payment processing for my business?,Payments & Transfers
51,Can I downgrade my account type?,Account Management
175,What is a jumbo loan?,Loans
190,What happens at the end of my loan term?,Loans
448,What happens if I enter wrong password too many times?,Fraud & Security
188,What is the total cost of my loan over its lifetime?,Loans
170,How do I set up biweekly loan payments?,Loans
59,How can I recover funds from a closed account?,Account Management
49,What benefits come with a premium account?,Account Management
345,How do I make a payment using QR code?,Payments & Transfers
236,How do I upgrade from a secured to unsecured card?,Card Services
253,What is a credit card promotional rate?,Card Services
22,How do I set up paperless statements?,Account Management
314,How do I cancel a pending transaction?,Payments & Transfers
161,How do I get a loan for home improvements?,Loans
277,How do I view my credit score through the bank?,Card Services
192,What is a title search?,Loans
386,How do I enable two-factor authentication?,Fraud & Security
294,What is an IBAN number?,Payments & Transfers
414,How can I tell if an ATM has a skimmer?,Fraud & Security
344,Is there a fee for e-transfers?,Payments & Transfers
258,Can I customize the design of my card?,Card Services
309,What is the cost of a cashier's check?,Payments & Transfers
150,What is a debt consolidation loan?,Loans
131,What is a bridge loan?,Loans
152,How do I calculate my debt-to-income ratio?,Loans
360,How do I set up automatic savings transfers?,Payments & Transfers
100,What is the interest rate on a home loan?,Loans
373,What is auto-debit for loan payments?,Payments & Transfers
88,"My account is locked, how do I unlock it?",Account Management
331,What happens if a payment fails?,Payments & Transfers
215,How long does a dispute take to resolve?,Card Services
122,What happens if I miss a loan payment?,Loans
451,How do I report a vulnerability in the bank's system?,Fraud & Security
21,What are the fees for maintaining an account?,Account Management
189,How do I track my loan payments?,Loans
72,How do I find the nearest ATM?,Account Management
107,What are the different types of home loans?,Loans
271,How do I update my card information with merchants?,Card Services
349,What are the foreign exchange fees?,Payments & Transfers
436,What is check fraud?,Fraud & Security
103,What documents do I need for a loan application?,Loans
